ID,Name,DoB,Email,Goals,TrainingPlans,AbilityLevel
1,Test1,2022-06-25,test1@testmail.com.au,"[1, 2, 3]","[{""circuits"": [{""supersets"": [{""sets"": [{""ID"": ""32"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""27"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""22"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""35"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}, {""sets"": [{""ID"": ""24"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""41"", ""Length"": ""200"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""9"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""36"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}, {""sets"": [{""ID"": ""6"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""1"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""34"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""30"", ""Length"": ""25"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}]}, {""supersets"": [{""sets"": [{""ID"": ""12"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""5"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""8"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""15"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}, {""sets"": [{""ID"": ""37"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""23"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""18"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""39"", ""Length"": ""35"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}, {""sets"": [{""ID"": ""31"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""28"", ""Length"": ""25"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""26"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""7"", ""Length"": ""15"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}]}], ""customerid"": ""1"", ""timestamp"": ""05/06/2022 14:52:00"", ""planned_date"": ""2022-06-05""}]",1.4
2,Test2,13/04/2005,test2@testmail.com,"[1, 2, 3, 4, 5]","[{""circuits"": [{""supersets"": [{""sets"": [{""ID"": ""25"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""1"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""32"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""23"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}, {""sets"": [{""ID"": ""12"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""40"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""13"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""21"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}, {""sets"": [{""ID"": ""1"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""34"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""21"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""36"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}]}, {""supersets"": [{""sets"": [{""ID"": ""19"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""12"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""16"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""26"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}, {""sets"": [{""ID"": ""16"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""40"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""24"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""5"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}, {""sets"": [{""ID"": ""36"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""39"", ""Length"": ""50"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""24"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}, {""ID"": ""23"", ""Length"": ""20"", ""OverrideName"": """", ""OverrideLength"": ""0""}]}]}], ""customerid"": ""2"", ""timestamp"": ""09/06/2022 13:40:58"", ""planned_date"": ""2022-06-21""}]",2.5
3,Test3,19/02/2005,test3@testmail.com,"[1, 2, 3]",,2.4
457633,a,,s,[],,
887295,f,,g,[],,
315418,f,,d,[],,
694371,k,,l,[],,
155030,l,,h,[],,
523597,Jamie,,s,[],,
155165,m,29/07/2022,p,[],[],1.0
